기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231001,,1235,ST-3113,,ST-18,,1,21,2718
20231001,,55,ST-923,,ST-753,,1,4,831
20231001,,1250,ST-857,,ST-850,,1,25,1400
20231001,,725,ST-1722,,ST-1722,,1,8,590
20231001,,1500,ST-971,,ST-382,,2,138,25545
20231001,,1820,ST-2240,,ST-687,,1,47,3020
20231001,,1350,ST-2491,,ST-2033,,1,8,1649
20231001,,1145,ST-2280,,ST-2506,,1,12,1290
20231001,,1735,ST-1796,,ST-1592,,1,18,2990
20231001,,1935,ST-1270,,ST-725,,2,32,3480
20231001,,1555,ST-854,,ST-558,,1,25,1610
20231001,,1250,ST-852,,ST-2342,,1,49,3777
20231001,,1435,ST-18,,ST-2536,,1,33,1897
20231001,,1930,ST-277,,ST-2812,,2,63,11270
20231001,,1410,ST-505,,ST-505,,2,0,0
20231001,,45,ST-1014,,ST-428,,1,14,2100
20231001,,1040,ST-702,,ST-1678,,1,14,2140
20231001,,15,ST-1025,,ST-454,,1,11,2051
20231001,,1830,ST-2571,,ST-2571,,1,0,0
20231001,,15,ST-204,,ST-3061,,1,19,3252
20231001,,955,ST-1640,,ST-1121,,1,9,1400
20231001,,1540,ST-2270,,ST-1093,,1,13,2020
20231001,,2040,ST-1705,,ST-1070,,1,25,3310
20231001,,1755,ST-2041,,ST-2035,,1,7,1430
20231001,,1655,ST-2546,,ST-2305,,1,7,772
20231001,,1630,ST-2037,,ST-2033,,1,5,700
20231001,,1800,ST-2494,,ST-2494,,1,0,10
20231001,,1745,ST-297,,ST-426,,1,36,5780
20231001,,650,ST-2845,,ST-180,,1,10,1430
20231001,,2345,ST-3052,,ST-2525,,1,3,960
20231001,,150,ST-2199,,ST-25,,1,19,2860
20231001,,2135,ST-2718,,ST-1118,,1,4,620
20231001,,130,ST-572,,ST-1098,,1,44,8912
20231001,,1910,ST-253,,ST-253,,1,0,0
20231001,,2000,ST-1888,,ST-750,,1,67,15957
20231001,,1150,ST-990,,ST-349,,1,72,9255
20231001,,2040,ST-1439,,ST-2188,,1,34,3370
20231001,,1705,ST-2182,,ST-3056,,1,4,702
20231001,,1430,ST-426,,ST-2450,,1,40,15367
20231001,,1840,ST-2799,,ST-2723,,1,8,1520
20231001,,1330,ST-1517,,ST-1517,,1,21,1983
20231001,,1530,ST-530,,ST-834,,1,15,2417
20231001,,1755,ST-2487,,ST-3094,,1,3,335
20231001,,1535,ST-3130,,ST-1691,,1,3,501
20231001,,2010,ST-387,,ST-256,,1,11,1498
20231001,,1135,ST-3116,,ST-2718,,1,9,1603
20231001,,1240,ST-3076,,ST-480,,1,8,1691
20231001,,2300,ST-2310,,ST-3002,,1,10,1885
20231001,,130,ST-642,,ST-702,,1,44,4900
20231001,,2045,ST-2854,,ST-2854,,1,69,13800
20231001,,2100,ST-2799,,ST-1641,,1,30,3960
20231001,,800,ST-1986,,ST-426,,1,11,790
20231001,,15,ST-602,,ST-2896,,1,4,690
20231001,,1115,ST-1440,,ST-1608,,1,13,1489
20231001,,2050,ST-1810,,ST-174,,1,2,380
20231001,,2115,ST-339,,ST-339,,2,149,6609
20231001,,1440,ST-2031,,ST-1647,,1,16,2120
20231001,,1935,ST-443,,ST-223,,2,37,5991
20231001,,100,ST-1053,,ST-1044,,1,25,2930
20231001,,1840,ST-1523,,ST-2017,,1,22,3059
20231001,,1910,ST-64,,ST-8,,2,84,11116
20231001,,15,ST-358,,ST-198,,1,9,1090
20231001,,315,ST-668,,ST-1938,,1,10,2012
20231001,,1530,ST-413,,ST-280,,1,2,0
20231001,,2010,ST-1142,,ST-625,,1,4,341
20231001,,1615,ST-3008,,ST-19,,1,10,1380
20231001,,2305,ST-1263,,ST-1194,,1,2,0
20231001,,1810,ST-1795,,ST-1627,,1,8,1048
20231001,,1635,ST-2685,,ST-2676,,1,95,10281
20231001,,1640,ST-3253,,ST-2078,,1,37,4600
20231001,,1600,ST-52,,ST-52,,3,207,8604
20231001,,920,ST-2906,,ST-3035,,1,4,1520
20231001,,1800,ST-660,,ST-660,,2,94,20840
20231001,,2010,ST-668,,ST-952,,1,6,915
20231001,,10,ST-2611,,ST-508,,1,7,959
20231001,,1900,ST-1265,,ST-2614,,1,10,1121
20231001,,2100,ST-1983,,ST-1991,,1,98,1242
20231001,,1305,ST-103,,ST-2408,,1,11,1850
