기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231101,,915,ST-385,,ST-2305,,1,20,2661
20231101,,2215,ST-153,,ST-153,,1,1,88
20231101,,2230,ST-835,,ST-834,,1,10,1085
20231101,,1710,ST-2309,,ST-254,,1,5,650
20231101,,1855,ST-1317,,ST-2504,,1,4,406
20231101,,1315,ST-1445,,ST-2174,,1,13,1863
20231101,,1625,ST-512,,ST-975,,1,3,176
20231101,,1925,ST-2310,,ST-1661,,1,11,889
20231101,,1445,ST-2005,,ST-1731,,1,16,2246
20231101,,830,ST-2697,,ST-2697,,1,111,0
20231101,,1555,ST-1333,,ST-2286,,1,13,2130
20231101,,1820,ST-1504,,ST-2765,,1,5,614
20231101,,225,ST-1378,,ST-1378,,1,1,0
20231101,,1335,ST-1995,,ST-1018,,1,40,2470
20231101,,1835,ST-736,,ST-2706,,1,86,2390
20231101,,830,ST-1727,,ST-513,,1,3,473
20231101,,1615,ST-975,,ST-1254,,1,3,412
20231101,,2225,ST-95,,ST-1331,,1,27,4100
20231101,,1325,ST-1681,,ST-891,,1,2,480
20231101,,625,ST-935,,ST-752,,1,9,1119
20231101,,830,ST-2013,,ST-1995,,1,19,2870
20231101,,1255,ST-2154,,ST-1691,,1,10,1214
20231101,,1935,ST-564,,ST-2137,,1,30,4130
20231101,,1830,ST-379,,ST-1302,,1,21,3370
20231101,,1720,ST-2550,,ST-520,,1,3,519
20231101,,750,ST-1689,,ST-3031,,1,8,1633
20231101,,2105,ST-3104,,ST-1495,,1,13,2151
20231101,,835,ST-1671,,ST-2497,,1,4,420
20231101,,2210,ST-2267,,ST-3206,,1,8,1655
20231101,,830,ST-1718,,ST-1514,,1,13,1630
20231101,,1500,ST-2844,,ST-1508,,1,42,7898
20231101,,2130,ST-1796,,ST-896,,1,4,922
20231101,,1625,ST-316,,ST-1398,,1,4,637
20231101,,2105,ST-1378,,ST-259,,1,15,1700
20231101,,1730,ST-276,,ST-398,,1,5,1139
20231101,,1630,ST-395,,ST-1334,,1,14,2189
20231101,,820,ST-402,,ST-1636,,1,17,3270
20231101,,1925,ST-776,,ST-776,,1,43,2143
20231101,,1555,ST-1291,,ST-2716,,1,10,1070
20231101,,1650,ST-1521,,ST-1270,,1,19,3594
20231101,,1415,ST-780,,ST-1908,,1,3,509
20231101,,10,ST-1064,,ST-2993,,1,1,0
20231101,,900,ST-1015,,ST-1997,,1,22,2053
20231101,,2250,ST-2049,,ST-2557,,1,9,2211
20231101,,1605,ST-1470,,ST-867,,1,13,1730
20231101,,1915,ST-3145,,ST-2557,,1,14,1880
20231101,,1815,ST-2700,,ST-2085,,1,17,3270
20231101,,920,ST-2115,,ST-3172,,1,16,2191
20231101,,1635,ST-1495,,ST-1731,,1,14,2241
20231101,,2155,ST-3177,,ST-2754,,1,5,971
20231101,,1715,ST-899,,ST-3153,,1,10,1878
20231101,,1415,ST-2644,,ST-3102,,1,18,2830
20231101,,1240,ST-310,,ST-420,,1,21,4044
20231101,,1700,ST-382,,ST-2312,,1,31,2567
20231101,,1840,ST-461,,ST-456,,1,12,1757
20231101,,1800,ST-3265,,ST-1195,,1,14,1846
20231101,,1340,ST-1446,,ST-2177,,1,5,954
20231101,,1510,ST-1916,,ST-757,,1,6,634
20231101,,1530,ST-368,,ST-368,,1,16,982
20231101,,1810,ST-2479,,ST-3104,,1,24,3440
20231101,,2020,ST-1862,,ST-550,,1,5,791
20231101,,1200,ST-1042,,ST-1051,,1,31,3670
20231101,,800,ST-2576,,ST-2972,,1,1,0
20231101,,2030,ST-2490,,ST-2056,,1,17,2396
20231101,,2055,ST-3051,,ST-439,,1,14,2241
20231101,,2125,ST-2074,,ST-600,,1,6,907
20231101,,1750,ST-3182,,ST-2879,,1,15,1585
20231101,,1640,ST-3206,,ST-1317,,1,24,1513
